,0
0,CANNES
1,LYON (gares intramuros)
2,LES ARCS DRAGUIGNAN
3,DIJON VILLE
4,NICE VILLE
5,BELFORT MONTBELIARD TGV
6,ST RAPHAEL VALESCURE
7,ANTIBES
8,MARSEILLE ST CHARLES
9,AIX EN PROVENCE TGV
10,TOULON
11,BESANCON Franche Comté TGV
12,MACON VILLE
13,STRASBOURG
14,COLMAR
15,BEAUNE
16,CHALON SUR SAONE
17,MULHOUSE VILLE
18,PARIS (intramuros)
19,MEUSE TGV
20,CHAMPAGNE ARDENNE
21,NANCY
22,EPINAL
23,REMIREMONT
24,SARREBOURG
25,ST DIE DES VOSGES
26,REIMS
27,SEDAN
28,RETHEL
29,BAR LE DUC
30,CHALONS EN CHAMPAGNE
31,Luxembourg
32,THIONVILLE
33,METZ VILLE
34,ISSOUDUN
35,LA SOUTERRAINE
36,CORBIERES VIERZON VILLE
37,CHATEAUROUX
38,BRIVE LA GAILLARDE
39,SOUILLAC
40,GOURDON
41,CAHORS
42,CAUSSADE TARN ET GARONNE
43,LIMOGES BENEDICTINS
44,MONTAUBAN VILLE BOURBON
45,TOULOUSE MATABIAU
46,UZERCHE
47,CORBIERES LES AUBRAIS ORLEANS
48,ARGENTON SUR CREUSE
49,PORTE PUYMORENS
50,MERENS LES VALS
51,LES CABANNES
52,TARASCON SUR ARIEGE
53,NIMES
54,MONTPELLIER SAINT ROCH
55,NARBONNE
56,BEZIERS
57,CARCASSONNE
58,ARLES
59,AGEN
60,BORDEAUX ST JEAN
61,SETE
62,MARMANDE
63,AVIGNON TGV
64,MARNE LA VALLEE CHESSY
65,AEROPORT CDG2 TGV ROISSY
66,LILLE EUROPE
67,TGV HAUTE PICARDIE
68,VALENCE TGV RHONE ALPES SUD
69,DOUAI
70,LILLE FLANDRES
71,LE MANS
72,RENNES
73,MASSY TGV
74,ANGERS ST LAUD
75,NANTES
76,MONTPELLIER SUD DE FRANCE
77,SAUMUR
78,ST PIERRE DES CORPS
79,LAVAL
80,LORRAINE TGV
81,POITIERS
82,ANGOULEME
83,MARSEILLE BLANCARDE
84,L'ARGENTIERE LES ECRINS (05)
85,NEVERS
86,CLERMONT FERRAND
87,MOULINS SUR ALLIER
88,VICHY
89,RIOM CHATEL GUYON
90,AGDE
91,VALENCE VILLE
92,MONTELIMAR GARE SNCF
93,AVIGNON CENTRE
94,MIRAMAS
95,LYON ST EXUPERY
96,ORANGE
97,MACON LOCHE TGV
98,PERPIGNAN
99,LE CREUSOT MONTCEAU MONTCHANIN
100,MONTBARD
101,BESANCON VIOTTE
102,GRENOBLE
103,AIX LES BAINS LE REVARD
104,CHAMBERY CHALLES LES EAUX
105,VALENCIENNES
106,DUNKERQUE
107,ARRAS
108,LENS
109,HAZEBROUCK
110,BETHUNE
111,CALAIS FRETHUN
112,RANG DU FLIERS VERTON
113,ST MALO
114,VENDOME VILLIERS SUR LOIR
115,TOURS
116,CHATELLERAULT
117,FUTUROSCOPE
118,NIORT
119,LA ROCHELLE VILLE
120,SURGERES
121,LIBOURNE
122,TARBES
123,ORTHEZ
124,LOURDES
125,DAX
126,PAU
127,BREST
128,ST BRIEUC
129,PLOUARET TREGOR
130,GUINGAMP
131,LAMBALLE
132,MORLAIX
133,QUIMPER
134,LORIENT
135,VANNES
136,AURAY
137,ROSPORDEN
138,REDON
139,SABLE
140,LE CROISIC
141,LA BAULE ESCOUBLAC
142,ST NAZAIRE
143,FRASNE
144,BOURG EN BRESSE
145,BELLEGARDE
146,LUNEVILLE
147,CHARLEVILLE MEZIERES
148,AUTERIVE
149,ANDORRE
150,EMBRUN
151,BOULOGNE VILLE
152,VITRE
153,DOL DE BRETAGNE
154,ST MAIXENT DEUX SEVRES
155,QUIMPERLE
156,LES SABLES D'OLONNE
157,LA ROCHE SUR YON
158,DOLE VILLE
159,NURIEUX
160,VITRY LE FRANCOIS GARE
161,PAMIERS
162,LATOUR DE CAROL ENVEITG
163,LUZENAC GARANOU
164,AX LES THERMES
165,CREST
166,GAP
167,MONTDAUPHIN GUILLESTRE
168,ST ETIENNE CHATEAUCREUX
169,ANNECY
170,ETAPLES LE TOUQUET
171,SELESTAT
172,SAVERNE
173,SAVERDUN
174,DIE
175,CHORGES
176,TOURCOING
177,FOIX
178,VEYNES DEVOLUY
179,BRIANCON
180,ROUBAIX
181,CROIX WASQUEHAL
182,LANDERNEAU
183,ARGELES SUR MER
184,BANYULS SUR MER
185,ASSIER
186,ST CHRISTOPHE
187,VIVIEZ DECAZEVILLE
188,BIARRITZ
189,ST JEAN DE LUZ CIBOURE
190,LANNION
191,ELNE
192,ROCAMADOUR PADIRAC
193,AUBIN
194,RODEZ
195,ST GERMAIN DES FOSSES
196,CASTELNAUDARY
197,CERBERE
198,COLLIOURE
199,FIGEAC
200,BAYONNE
201,LEZIGNAN
202,PORT VENDRES VILLE
203,CRANSAC
204,ST DENIS PRES MARTEL
205,FACTURE BIGANOS
206,CAPDENAC
207,GRAMAT
208,EVIAN LES BAINS
209,HENDAYE
210,THONON LES BAINS
211,ANNEMASSE
212,PORNICHET
213,LUC EN DIOIS
214,LE POULIGUEN
215,ARCACHON
216,VERSAILLES CHANTIERS
217,MASSY PALAISEAU
218,ROUEN RIVE DROITE
219,LE HAVRE
220,MANTES LA JOLIE
221,MODANE
222,ST JEAN DE MAURIENNE ARVAN
223,ST MICHEL VALLOIRE
224,AIME LA PLAGNE
225,ALBERTVILLE
226,CLUSES 74
227,ST AVRE LA CHAMBRE
228,MOUTIERS SALINS BRIDES L BAINS
229,SALLANCHES COMBLOUX MEGEVE
230,LANDRY
